^ Category ^ Title ^
| consumer-protection-act | [[legal_formats:consumer-protection-act:appeal_before_state_commission_under_section_15_of_consumer_protection_act|Appeal Before State Commission Under Section 15 Of Consumer Protection Act]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:appeal_to_national_commission_under_section_19_of_consumer_protection_act|Appeal To National Commission Under Section 19 Of Consumer Protection Act]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:appeal_under_section_19_of_consumer_protection_act|Appeal Under Section 19 Of Consumer Protection Act]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:applications_for_deficiency_of_service_defective_washing_machine|Applications For Deficiency Of Service Defective Washing Machine]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:complaint_before_national_commission_for_malfunctioning_computer|Complaint Before National Commission For Malfunctioning Computer]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:complaint_before_the_district_forum_against_a_bank_for_passing_of_a_forged_cheque_from_the_complainants_account|Complaint Before The District Forum Against A Bank For Passing Of A Forged Cheque From The Complainants Account]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:form_of_appeal_to_the_national_commission|Form Of Appeal To The National Commission]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:form_of_complaint|Form Of Complaint]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:model_form_of_complaint|Model Form Of Complaint]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:notice_to_branch_manager_xyz_bank_ltd_claiming_damages_for_payment_of_cheque_for_which_instructions_for_stoppage_was_issued|Notice To Branch Manager Xyz Bank Ltd Claiming Damages For Payment Of Cheque For Which Instructions For Stoppage Was Issued]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:notice_to_divisional_manager_idea_cellular_against_wrongfuldisconnection_of_the_mobile_connection|Notice To Divisional Manager Idea Cellular Against Wrongfuldisconnection Of The Mobile Connection]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:notice_to_general_manager_gçªgçªgçªgçªgçªgçªgçªgçªgçªgçª_electricity_co_ltd_for_illegal_disconnecting_of_electric_connection_and_for_refund_of_bill_amount_paid_again|Notice To General Manager Gçªgçªgçªgçªgçªgçªgçªgçªgçªgçª Electricity Co Ltd For Illegal Disconnecting Of Electric Connection And For Refund Of Bill Amount Paid Again]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:notice_to_the_company_claiming_damages_for_selling_defective_washing_machine|Notice To The Company Claiming Damages For Selling Defective Washing Machine]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:reply_of_respondent_to_the_complaint_filed_by_the_complainant|Reply Of Respondent To The Complaint Filed By The Complainant]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:written_statement_to_be_denied_on_behalf_of_the_bank_in_the_above_complaint|Written Statement To Be Denied On Behalf Of The Bank In The Above Complaint]] |
| consumer-protection-act | [[legal_formats:consumer-protection-act:written_statement_to_be_rilied_on_behalf_of_the_bank_in_the_above_complaint|Written Statement To Be Rilied On Behalf Of The Bank In The Above Complaint]] |
