^ Category ^ Title ^
| notice | [[legal_formats:notice:another_notice_under_section_78b_indian_railways_act_1890_for_short_delivery|Another Notice Under Section 78B Indian Railways Act 1890 For Short Delivery]] |
| notice | [[legal_formats:notice:combined_notice_uneder_section_78b_indian_railways_act_1890_and_under_section_80_code_of_civil_procedure|Combined Notice Uneder Section 78B Indian Railways Act 1890 And Under Section 80 Code Of Civil Procedure]] |
| notice | [[legal_formats:notice:complaint_under_sections_138_and_142_of_the_negotiable_instruments_act|Complaint Under Sections 138 And 142 Of The Negotiable Instruments Act]] |
| notice | [[legal_formats:notice:form_of_a_complaint_on_behalf_of_the_proprietorship_firm|Form Of A Complaint On Behalf Of The Proprietorship Firm]] |
| notice | [[legal_formats:notice:form_of_a_notice_by_a_sole_proprietor_partner_of_a_firmdirector_of_a_company_from|Form Of A Notice By A Sole Proprietor Partner Of A Firmdirector Of A Company From]] |
| notice | [[legal_formats:notice:form_of_a_notice_from_an_individual|Form Of A Notice From An Individual]] |
| notice | [[legal_formats:notice:form_of_a_notice_on_behalf_of_an_individual_by_an_advocate|Form Of A Notice On Behalf Of An Individual By An Advocate]] |
| notice | [[legal_formats:notice:form_of_a_notice_to_the_drawer|Form Of A Notice To The Drawer]] |
| notice | [[legal_formats:notice:form_of_complaint_on_behalf_of_a_banking_company|Form Of Complaint On Behalf Of A Banking Company]] |
| notice | [[legal_formats:notice:insurance_claim_notice|Insurance Claim Notice]] |
| notice | [[legal_formats:notice:intimation_to_the_assessing_officer_under_section_2105_regarding_the_notice_of_demand_under_section_156_of_the_incometax_act_1961_for_payment_of_advance_tax|Intimation To The Assessing Officer Under Section 2105 Regarding The Notice Of Demand Under Section 156 Of The Incometax Act 1961 For Payment Of Advance Tax]] |
| notice | [[legal_formats:notice:notice_about_the_employee_who_has_ceased_to_be_in_employment|Notice About The Employee Who Has Ceased To Be In Employment]] |
| notice | [[legal_formats:notice:notice_by_a_partner_to_make_available_the_account_books_of_partnership_firm_for_inspection|Notice By A Partner To Make Available The Account Books Of Partnership Firm For Inspection]] |
| notice | [[legal_formats:notice:notice_by_advocate_claiming_damages_for_defamation|Notice By Advocate Claiming Damages For Defamation]] |
| notice | [[legal_formats:notice:notice_by_creditor_to_guarantors_to_pay_debt|Notice By Creditor To Guarantors To Pay Debt]] |
| notice | [[legal_formats:notice:notice_by_guarantor_to_determine_continuing_guarantee|Notice By Guarantor To Determine Continuing Guarantee]] |
