subject,swimlane
Commencement of CIRP upon admission of application - T,15 NCLT-AA Interventions
Public announcement inviting claims - T+3,11 Claims Management
Submission of claims - T+14,11 Claims Management
Submission of claims - T+90,11 Claims Management
Verification of Claims - T+21,11 Claims Management
Verification of Claims - T+97,11 Claims Management
Application for appointment of AR - T+23,08 Appointment of Professionals
Report certifying constitution of CoC - T+23,10 Committee of Creditors
1st meeting of the CoC - T+30,10 Committee of Creditors
Resolution to appoint RP by the CoC - T+30,10 Committee of Creditors
Appointment of RP - T,09 Ist COC Meeting
IRP performs the functions of RP till the RP is appointed - T+40,15 NCLT-AA Interventions
Appointment of valuer - T+47,15 NCLT-AA Interventions
RP to form an opinion on preferential and other transactions - T+75,15 NCLT-AA Interventions
RP to make determination on preferential & other transactions - T+115,15 NCLT-AA Interventions
RP to file applications to AA for appropriate relief - T+130,15 NCLT-AA Interventions
Submission of IM to CoC - T+95,12 Information Memorandum
Publish Form G - T+60,14 Form G and EOI
Invitation EoI - T+60,14 Form G and EOI
Submission of EoI - T+75,14 Form G and EOI
Provisional List of RAs by RP - T+85,14 Form G and EOI
Submission of objections to provisional list - T+90,14 Form G and EOI
Final List of RAs by RP - T+100,14 Form G and EOI
Issue of RFRP including Evaluation Matrix and IM - T+105,12 Information Memorandum
Receipt of Resolution Plans - T+135,14 Form G and EOI
Submission of CoC approved Resolution Plan to AA - T+165,14 Form G and EOI
Approval of resolution plan by AA - T+180,14 Form G and EOI
CIRP END DATE,15 NCLT-AA Interventions
Preparation for Public Announcement,05 Public Announcements
Make Public Announcement,05 Public Announcements
Upload Public Announcement - Form A on IBBI and CD Website,05 Public Announcements
File CIRP-1 Form,15 NCLT-AA Interventions
Upload Public Announcement on IPA Portal,05 Public Announcements
Filing of CIRP-7 in case of delay in Public Announcement,05 Public Announcements
Filing of Relationship Disclosure with Insolvency Professional,02 Consent
Contact the Management of Corporate Debtor,07 Management of CD
Intimation to the Management of the CD,07 Management of CD
Visit the premises of the CD including Office- s,07 Management of CD
Security Arrangement at CD locations,07 Management of CD
Initiate collation and verification of claims,11 Claims Management
Manage CD operations as a going concern,06 Stakeholder Intimations
Prepare presentation for CoC,10 Committee of Creditors
File Statutory compliances,06 Stakeholder Intimations
Intimation to the Creditors of CD,10 Committee of Creditors
Information required from the Creditors,12 Information Memorandum
Intimation to Statutory Auditor of the CD,06 Stakeholder Intimations
Intimation to Banks- Financial Institutions,06 Stakeholder Intimations
Intimation to Banks to Change Signatory of all the Accounts,06 Stakeholder Intimations
Intimations in case of listed companies,06 Stakeholder Intimations
Start an outreach to the Financial Creditors,10 Committee of Creditors
Invitation of quotes from Registered Valuers,08 Appointment of Professionals
Invitation of quotes from CA-CA-firms for Transaction Audit,08 Appointment of Professionals
Invitation of quotes from Legal Professionals,08 Appointment of Professionals
Invitation of quotes from Security Agency,15 NCLT-AA Interventions
Invitation of quotes for e-voting,08 Appointment of Professionals
Invitation of quotes for videography,08 Appointment of Professionals
Invitation of quotes from Accounting professionals,08 Appointment of Professionals
Invitation of quotes from CS firms for Secretarial compliances,08 Appointment of Professionals
Invitation of quotes from other professionals as required,08 Appointment of Professionals
Issuance of demand notice for Recovery of Dues from Debtors,10 Committee of Creditors
Preparation and Filing of Application for appointment of Authorized Representative-AR for each Class of Creditors,10 Committee of Creditors
Preparation of Notice of First CoC Meeting,10 Committee of Creditors
Verification of Claims Constitution of CoC and list of creditors,11 Claims Management
Filing of Relationship disclosures,10 Committee of Creditors
Filing of Report with Adjudicating Authority on Constitution,10 Committee of Creditors
Circulate the Notice of the First Meeting of CoC,09 Ist COC Meeting
Follow up with CD and file an application for non-cooperation under section 19- 2 of the Code if required,10 Committee of Creditors
Conduct the First CoC Meeting,10 Committee of Creditors
Progress Report,15 NCLT-AA Interventions
Appointment of RP,08 Appointment of Professionals
Filing of cost disclosure with IPA,15 NCLT-AA Interventions
Filing of CIRP-2 Form,11 Claims Management
Filing of CIRP-7 Form,15 NCLT-AA Interventions
Appointment of Registered Valuers,15 NCLT-AA Interventions
Make relationship disclosures relating to Registered Valuers to IPA,15 NCLT-AA Interventions
Appointment of Legal Professional,08 Appointment of Professionals
Make relationship disclosures relating to Legal Professional,02 Consent
Appointment of Transaction Auditor,08 Appointment of Professionals
Make relationship disclosures relating to Transaction Audit,15 NCLT-AA Interventions
Appointment of other professionals,08 Appointment of Professionals
Make relationship disclosure to IPA,02 Consent
Prepare and Publish Form G – Invitation for Expression of Interest,14 Form G and EOI
Upload Form-G on IBBI portal and CD website if any,14 Form G and EOI
Streamlining the EoI Process: Issuance Receipt and Due Diligence of EoI,14 Form G and EOI
Issuance of provisional list of PRAs,15 NCLT-AA Interventions
Considering Objections and Issuance of Final List of PRA,14 Form G and EOI
Notice for CoC Meeting after Preparation of RFRP and Ev ,10 Committee of Creditors
Preparation of Information Memorandum - IM,12 Information Memorandum
